ENSEMBL,MEAN,SD,VAR,CV,FF,GC
ENSG00000243485,0,0,0,NaN,NaN,NaN
ENSG00000237613,0,0,0,NaN,NaN,NaN
ENSG00000186092,0,0,0,NaN,NaN,NaN
ENSG00000238009,0,0,0,NaN,NaN,NaN
ENSG00000239945,0,0,0,NaN,NaN,NaN
ENSG00000237683,0.00833560872808168,0.0711328602875236,0.00505988381268435,8.53361315387626,0.607020312222453,0.987788125350923
ENSG00000239906,0,0,0,NaN,NaN,NaN
ENSG00000241599,0,0,0,NaN,NaN,NaN
ENSG00000228463,0,0,0,NaN,NaN,NaN
ENSG00000237094,0,0,0,NaN,NaN,NaN
ENSG00000235249,0,0,0,NaN,NaN,NaN
ENSG00000236601,0,0,0,NaN,NaN,NaN
ENSG00000236743,0,0,0,NaN,NaN,NaN
ENSG00000231709,0,0,0,NaN,NaN,NaN
ENSG00000235146,0,0,0,NaN,NaN,NaN
ENSG00000239664,0,0,0,NaN,NaN,NaN
ENSG00000230021,0,0,0,NaN,NaN,NaN
ENSG00000223659,0,0,0,NaN,NaN,NaN
ENSG00000185097,0,0,0,NaN,NaN,NaN
ENSG00000235373,0,0,0,NaN,NaN,NaN
ENSG00000240618,0,0,0,NaN,NaN,NaN
ENSG00000229905,0,0,0,NaN,NaN,NaN
ENSG00000228327,0.000996429226715348,0.0235855187049628,0.000556276692582149,23.6700390480422,0.558270148714799,0.998380088726492
ENSG00000237491,0.000316302733829081,0.0116138152393061,0.000134880704412739,36.7174039209595,0.426429145204997,0.999303489967066
ENSG00000269831,0,0,0,NaN,NaN,NaN
ENSG00000177757,0,0,0,NaN,NaN,NaN
ENSG00000225880,0.00298081533380441,0.0438890819684576,0.00192625151603399,14.7238513807704,0.646216320142019,0.995831078428911
ENSG00000230368,0.000239840125143121,0.0122576842046971,0.000150250822062081,51.1077293567225,0.626462406873833,0.999617151607963
ENSG00000269308,0,0,0,NaN,NaN,NaN
ENSG00000272438,0,0,0,NaN,NaN,NaN
ENSG00000230699,0,0,0,NaN,NaN,NaN
ENSG00000241180,0,0,0,NaN,NaN,NaN
ENSG00000223764,0,0,0,NaN,NaN,NaN
ENSG00000187634,0.000158926953425069,0.00812239572313689,6.59733122832325e-05,51.1077293567226,0.415117202346281,0.999617151607963
ENSG00000268179,0,0,0,NaN,NaN,NaN
ENSG00000188976,0.0152408576087327,0.101498395584405,0.0103019243062084,6.6596249495992,0.675941247578193,0.979715270099319
ENSG00000187961,0.00073993213770381,0.0209987704179793,0.000440948359067001,28.3793193293963,0.595930811216513,0.998872571009601
ENSG00000187583,0.000270393943898034,0.0138192205044376,0.000190970855350268,51.1077293567226,0.706268981461666,0.999617151607963
ENSG00000187642,0,0,0,NaN,NaN,NaN
ENSG00000272512,0.000434963211269531,0.015844675782771,0.000251053750661128,36.4276227787747,0.577183872466767,0.999283383521024
ENSG00000188290,0.017162896845555,0.113290448239124,0.0128347256622215,6.60089315099883,0.747818143855217,0.979087769528878
ENSG00000224969,0,0,0,NaN,NaN,NaN
ENSG00000187608,0.128271902126596,0.344239410512573,0.118500771750044,2.68366964865642,0.923824857863968,0.885735818749377
ENSG00000188157,0.00172823998648045,0.045690746745701,0.00208764433817979,26.4377326662542,1.20795974778437,0.998699033261657
ENSG00000273443,0.000158224122283322,0.00593945327989881,3.52771052641007e-05,37.5382286479897,0.222956555264894,0.999342121240619
ENSG00000237330,0,0,0,NaN,NaN,NaN
ENSG00000131591,0.000573456195660102,0.0157017966708322,0.000246546418692158,27.3809870564882,0.429930691407666,0.998762068221609
ENSG00000223823,0,0,0,NaN,NaN,NaN
ENSG00000272141,0,0,0,NaN,NaN,NaN
ENSG00000205231,0,0,0,NaN,NaN,NaN
ENSG00000162571,0,0,0,NaN,NaN,NaN
ENSG00000186891,0.00135836414649931,0.0343653163559889,0.0011809749682472,25.2990455059882,0.869409702317846,0.998339085879544
ENSG00000186827,0.00133524900785054,0.0375365419710665,0.00140899198314564,28.1120163732547,1.05522788248599,0.998815619431456
ENSG00000078808,0.0314650694486331,0.135649327244362,0.0184007399818481,4.31110846476314,0.584798962922595,0.95292094245281
ENSG00000176022,0.00653138772432919,0.066664566835138,0.00444416447131658,10.2067997872512,0.680431886590077,0.991041549559211
ENSG00000184163,0.000200276124104142,0.00740976928025882,5.49046807866674e-05,36.9977665256084,0.274144913839641,0.999318596640767
ENSG00000260179,0.000422077698271245,0.015985976950041,0.000255551459047241,37.8744885491858,0.605460700941875,0.999354592890303
ENSG00000160087,0.0138352174652699,0.08763292068646,0.00767952878803939,6.33404721728746,0.555071057416845,0.977564679560586
ENSG00000230415,0,0,0,NaN,NaN,NaN
ENSG00000162572,0.00142744683671436,0.0301187632724582,0.000907139901062378,21.0997443111677,0.635498204017457,0.997986753657128
ENSG00000131584,0.0112609652581525,0.0863296720666067,0.00745281227912785,7.66627638817261,0.661827126562911,0.984485703317785
ENSG00000169972,0.00848195222783408,0.0744112373003039,0.00553703223656214,8.77289040323979,0.652801629605035,0.988390801781134
ENSG00000127054,0.0165858721359318,0.10838740656467,0.0117478299018151,6.5349235588196,0.70830341663882,0.976716286693178
ENSG00000224051,0.00219905008397168,0.0400743226786299,0.00160595133815095,18.2234697475612,0.730293206988018,0.997097913499577
ENSG00000169962,0,0,0,NaN,NaN,NaN
ENSG00000107404,0.00531615057707814,0.0672397449317363,0.00452118329848496,12.6482017310903,0.850461858243656,0.994279497222217
ENSG00000162576,0,0,0,NaN,NaN,NaN
ENSG00000175756,0.18022907710129,0.347842553628189,0.12099444211458,1.93000241261126,0.671336967711265,0.806590033659185
ENSG00000221978,0.0176869506128729,0.113195292371289,0.0128131742150217,6.39993263106097,0.724442245329501,0.977282754636742
ENSG00000224870,0.00368208663013884,0.0476583382350711,0.00227131720332844,12.9432962942738,0.616855992669242,0.994187403864214
ENSG00000242485,0.0903151416364887,0.244641824193187,0.0598496221445702,2.70875757664037,0.662675394846417,0.890408730474382
ENSG00000272455,0.000495054736393255,0.0179033229889175,0.000320528974045503,36.1643302705334,0.647461685511247,0.999250571202144
ENSG00000235098,0.0011829522634751,0.022548931478277,0.00050845431081203,19.0615734670781,0.429818113977288,0.997217130398914
ENSG00000225905,0,0,0,NaN,NaN,NaN
ENSG00000205116,0,0,0,NaN,NaN,NaN
ENSG00000225285,5.10429051292998e-06,0.00022654680981037,5.1323457035256e-08,44.3836041926867,0.0100549639377393,0.999507319389333
ENSG00000179403,0.000422814858981712,0.0187260343345331,0.000350664361898112,44.2889693603296,0.829356760882616,0.999505589796106
ENSG00000215915,3.11628238526445e-05,0.00112652868756935,1.26906688391672e-06,36.1497627075202,0.0407237447388461,0.999246405473709
ENSG00000160072,0.00477098277819203,0.0518653819896312,0.00269001784893036,10.8710059123889,0.563828874257591,0.99247833635275
ENSG00000197785,0.00569506985542142,0.0632575252664956,0.00400151450284132,11.1074186748171,0.702627817467785,0.992452487702539
ENSG00000205090,0,0,0,NaN,NaN,NaN
ENSG00000160075,0.0491165692358604,0.171433817578128,0.0293895538094108,3.49034593102163,0.598363327623323,0.930609346424761
ENSG00000215014,0.00131067318405355,0.0269423024017853,0.000725887658709245,20.5560796769033,0.553828114850323,0.997861955969708
ENSG00000228594,0.00382266889677198,0.0584124937294779,0.00341201942369629,15.2805527517185,0.892575191792713,0.996148499608444
ENSG00000272106,0.00137170464389714,0.0293024493511323,0.000858633537975672,21.3620690733256,0.625960947056512,0.998023140624903
ENSG00000197530,0.0144445048180822,0.0914127526655743,0.00835629134989745,6.32854873301992,0.578510060063584,0.978130869483876
ENSG00000189409,0.000576834101813508,0.0210218328985873,0.000441917458416127,36.4434641303223,0.766108413193295,0.999297234824022
ENSG00000248333,0.00379080867953233,0.0471441570363061,0.00222257154266389,12.4364379798039,0.586305385092158,0.994227770024086
ENSG00000272004,0.000179279986877619,0.00916259304841813,8.39531113709203e-05,51.1077293567226,0.468279325724341,0.999617151607963
ENSG00000189339,0.00145850331326044,0.0264078324107758,0.000697373612635619,18.1061175320486,0.478143317396148,0.997256708223962
ENSG00000269737,0,0,0,NaN,NaN,NaN
ENSG00000008128,0.00986617049007238,0.0756626065045933,0.00572483002306892,7.66889307059179,0.580248438725989,0.984814118490336
ENSG00000215790,0.000743128005409471,0.0200439575321684,0.000401760233551372,26.9724157699104,0.540633956232074,0.998707978558832
ENSG00000008130,0.0131499310517097,0.0898768698568951,0.00807785173527326,6.83477879111845,0.614288523910019,0.98097434449426
ENSG00000078369,0.0275116917028533,0.126204841961166,0.0159276621344429,4.58731666973708,0.578941575329991,0.958032103056335
ENSG00000231050,0.00021503031634345,0.00959034649527124,9.19747458993614e-05,44.5999738936969,0.427729203320605,0.999511246919064
ENSG00000169885,0,0,0,NaN,NaN,NaN
ENSG00000178821,0.000102290359194199,0.00522782799349906,2.73301855296124e-05,51.1077293567226,0.267182418215248,0.999617151607963
ENSG00000142609,0,0,0,NaN,NaN,NaN
ENSG00000233542,0,0,0,NaN,NaN,NaN
ENSG00000187730,0,0,0,NaN,NaN,NaN
ENSG00000226969,0,0,0,NaN,NaN,NaN
ENSG00000067606,0.00107159072040368,0.0200133142584043,0.000400532747605648,18.6762668594826,0.373773997832647,0.997412156575874
ENSG00000271806,0.000264122382376178,0.0134986952355345,0.000182214773061842,51.1077293567226,0.689887662766577,0.999617151607963
ENSG00000182873,1.99891687047904e-05,0.0010216010242303,1.04366865270839e-06,51.1077293567226,0.0522117086569125,0.999617151607963
ENSG00000162585,0.125188036554953,0.296250569550315,0.087764399958886,2.36644473148416,0.701060599511526,0.860696363797231
ENSG00000269554,8.88156280020153e-05,0.00453916507857435,2.06040196105489e-05,51.1077293567226,0.231986420341264,0.999617151607963
ENSG00000203301,0.000371292221504003,0.0134630673540396,0.000181254182579406,36.2600307097854,0.488171235705385,0.999266586698622
ENSG00000243558,0,0,0,NaN,NaN,NaN
ENSG00000234396,0,0,0,NaN,NaN,NaN
ENSG00000157933,0.00288793148592153,0.0379598770243708,0.00144095226370535,13.1443135716421,0.498956526749301,0.994860216407174
ENSG00000116151,0.000335584428487334,0.0110400293351012,0.000121882247719896,32.897918967411,0.363193990464,0.999151599680302
ENSG00000269753,0,0,0,NaN,NaN,NaN
ENSG00000157916,0.0449515731215531,0.167961971267114,0.0282112237919348,3.73650930553487,0.627591468615551,0.938957236143234
ENSG00000157911,0.00174464181416315,0.029310815411408,0.000859123900081635,16.8004774237671,0.492435692591564,0.996717443969251
ENSG00000149527,0,0,0,NaN,NaN,NaN
ENSG00000224387,0,0,0,NaN,NaN,NaN
ENSG00000229393,0,0,0,NaN,NaN,NaN
ENSG00000157881,0.00191819861889192,0.0306614162936417,0.000940122449131998,15.9844846053292,0.490106936723307,0.99651353271059
ENSG00000197921,0,0,0,NaN,NaN,NaN
ENSG00000272449,0.0258160117766637,0.128980882102968,0.0166360679480598,4.99615832293507,0.644408907618252,0.964670162885781
ENSG00000157873,0.0500851335800697,0.184750442653671,0.0341327260607274,3.68872816038946,0.681494160461016,0.933946452766624
ENSG00000225931,0.000252021991727177,0.0128802717451348,0.000165901400228517,51.1077293567226,0.658281442391388,0.999617151607963
ENSG00000228037,0.000433371237168549,0.0147341465781285,0.000217095075385776,33.9989028215041,0.500944817667589,0.999149601575645
ENSG00000157870,0.00101303143491659,0.0240922409896395,0.000580436075902868,23.7823231927875,0.572969461654131,0.99836127472356
ENSG00000142606,0.000470486206237297,0.0170072043634719,0.000289245000260898,36.1481466151509,0.614778916844617,0.999245851231064
ENSG00000237058,0,0,0,NaN,NaN,NaN
ENSG00000215912,0,0,0,NaN,NaN,NaN
ENSG00000233234,0,0,0,NaN,NaN,NaN
ENSG00000231630,0,0,0,NaN,NaN,NaN
ENSG00000169717,0,0,0,NaN,NaN,NaN
ENSG00000177133,0,0,0,NaN,NaN,NaN
ENSG00000142611,0,0,0,NaN,NaN,NaN
ENSG00000226286,0,0,0,NaN,NaN,NaN
ENSG00000272235,0,0,0,NaN,NaN,NaN
ENSG00000130762,0,0,0,NaN,NaN,NaN
ENSG00000272088,0,0,0,NaN,NaN,NaN
ENSG00000162591,0.00121835880476383,0.0246043973974916,0.000605376371293691,20.1947056165125,0.496878562314029,0.997794427126872
ENSG00000238260,3.48602613529053e-05,0.0017816288025289,3.17420119000055e-06,51.1077293567225,0.0910550026537886,0.999617151607963
ENSG00000158109,0.00464613288553385,0.0547359691432777,0.00299602631805384,11.7809736595574,0.6448430107073,0.993460120681952
ENSG00000116213,0.00589610036382857,0.0601421664027802,0.0036170801796197,10.2003294875611,0.613469913404084,0.99126289278938
ENSG00000078900,0,0,0,NaN,NaN,NaN
ENSG00000227589,0,0,0,NaN,NaN,NaN
ENSG00000235131,0,0,0,NaN,NaN,NaN
ENSG00000227372,0.00130764136416998,0.0247678556329005,0.000613446672652201,18.9408627713622,0.469124554683679,0.997457505818639
ENSG00000162592,0,0,0,NaN,NaN,NaN
ENSG00000235169,0.000363434858168477,0.0116439763470021,0.000135582185169544,32.0386888744841,0.373057735443451,0.999113403262407
ENSG00000130764,0.00751098197790642,0.0723185405995261,0.00522997131444531,9.62837360178088,0.696309927227796,0.990226986118222
ENSG00000272153,0,0,0,NaN,NaN,NaN
ENSG00000116198,0.00276587038030192,0.0446686132370748,0.00199528500852338,16.1499300745246,0.721394980304743,0.996558741036507
ENSG00000169598,0.00019210561430441,0.00861290931541442,7.41822068755524e-05,44.8342405119218,0.386153247754662,0.999515458518252
ENSG00000198912,0.00187384655247755,0.0347215724534625,0.00120558759364104,18.5295708485599,0.643375836749837,0.997347026812935
ENSG00000236423,0.000250653588551399,0.0128103357659762,0.000164104702437048,51.1077293567226,0.654707173296253,0.999617151607963
ENSG00000233304,0,0,0,NaN,NaN,NaN
ENSG00000226374,0,0,0,NaN,NaN,NaN
ENSG00000235054,0,0,0,NaN,NaN,NaN
ENSG00000227169,0,0,0,NaN,NaN,NaN
ENSG00000232596,0,0,0,NaN,NaN,NaN
ENSG00000196581,0,0,0,NaN,NaN,NaN
ENSG00000231510,0,0,0,NaN,NaN,NaN
ENSG00000260972,0,0,0,NaN,NaN,NaN
ENSG00000236948,0,0,0,NaN,NaN,NaN
ENSG00000131697,0.00189048562964824,0.031911696098963,0.00101835634791257,16.8801579861259,0.538674471755733,0.996860086795197
ENSG00000069424,0.0340999545787732,0.158629605766421,0.0251633518256101,4.65190079359125,0.737929188951881,0.957832225253646
ENSG00000268332,0,0,0,NaN,NaN,NaN
ENSG00000116254,0,0,0,NaN,NaN,NaN
ENSG00000116251,0.337319524783561,0.42517895587798,0.180777144521489,1.2604635209029,0.535922563739778,0.651943417597767
ENSG00000226944,0.000138453150294079,0.00707602613381543,5.00701458464389e-05,51.1077293567226,0.361639628568135,0.999617151607963
ENSG00000158286,0.000476276528323857,0.0151639223001738,0.000229944539525709,31.8384833145981,0.482796287137947,0.998997915116437
ENSG00000116237,0.00296185737039026,0.0481013735216778,0.00231374213467197,16.2402734184799,0.781179457796477,0.996324524264976
ENSG00000225077,0,0,0,NaN,NaN,NaN
ENSG00000173673,0,0,0,NaN,NaN,NaN
ENSG00000158292,0,0,0,NaN,NaN,NaN
ENSG00000097021,0.000301491720541893,0.00963377035116461,9.28095311789783e-05,31.9536812946277,0.307834427466747,0.998465865260704
ENSG00000271746,0.00126605201692276,0.0274152200969038,0.000751594292961679,21.6541024621869,0.593651985001762,0.998034365072832
ENSG00000069812,7.9521878359647e-05,0.00406418263714305,1.65175805080551e-05,51.1077293567226,0.207711146275398,0.999617151607963
ENSG00000187017,0.000122185902353439,0.00624464402868649,3.89955790450098e-05,51.1077293567225,0.319149576947183,0.999617151607963
ENSG00000231868,0,0,0,NaN,NaN,NaN
ENSG00000215788,0.000761844850370528,0.0211482536681183,0.000447248633211079,27.7592657584188,0.587059993899751,0.998806554898773
ENSG00000171680,0,0,0,NaN,NaN,NaN
ENSG00000162408,0.00155825256903667,0.0316102637081518,0.000999208771698897,20.2857125579415,0.641236723464296,0.997816305657795
ENSG00000173662,0,0,0,NaN,NaN,NaN
ENSG00000204859,0.00947685802119696,0.0722007486988207,0.00521294811267026,7.61863779507182,0.550071352869318,0.984887502547921
ENSG00000162413,0.00463815691247114,0.0502052208316895,0.00252056419875871,10.8243903298521,0.543440906878631,0.992276643141737
ENSG00000116273,0.000878173253236967,0.022572529541755,0.000509519089913403,25.7039592797345,0.580203380181876,0.998561785358823
ENSG00000041988,0.00285052113231064,0.0431382384783126,0.00186090761901177,15.1334568228037,0.652830669423353,0.995963685510468
ENSG00000007923,0.00279701223040557,0.0383090636176047,0.00146758435525768,13.696423348156,0.524697153378153,0.994945275518006
ENSG00000228750,0,0,0,NaN,NaN,NaN
ENSG00000237436,0.00121494364832057,0.0304717484303241,0.000928527452400961,25.0807915844044,0.764255571593362,0.998498269053909
ENSG00000171735,0.0174518314461723,0.102947387098553,0.0105981645104194,5.89894461312441,0.607280934560245,0.974073885003695
ENSG00000237365,0,0,0,NaN,NaN,NaN
ENSG00000237728,0,0,0,NaN,NaN,NaN
ENSG00000225126,0,0,0,NaN,NaN,NaN
ENSG00000270171,0,0,0,NaN,NaN,NaN
ENSG00000270035,0,0,0,NaN,NaN,NaN
ENSG00000269978,0,0,0,NaN,NaN,NaN
ENSG00000049245,0.0174677709866795,0.101187786204905,0.0102389680770495,5.79282761847909,0.58616340258053,0.973942557964303
ENSG00000049246,0.000308243374342403,0.00974258242159696,9.491791224161e-05,31.6067861714189,0.30793171935684,0.999092037419477
ENSG00000236266,6.34712624386787e-05,0.0032438721026455,1.05227062183217e-05,51.1077293567226,0.165786937489829,0.999617151607963
ENSG00000049247,0.000207999347769673,0.0106303743721873,0.000113004859292856,51.1077293567226,0.543294296374386,0.999617151607963
ENSG00000049249,0.000282651671700719,0.0103238328767616,0.000106581525267305,36.524931250691,0.377077286067343,0.999288965228244
ENSG00000116288,0.142677226270717,0.303494991469362,0.092109209846988,2.12714389957026,0.645577519654181,0.83601466519967
ENSG00000116285,0,0,0,NaN,NaN,NaN
ENSG00000238290,0.000263545818742709,0.00964950917034333,9.31130272285399e-05,36.6141615009413,0.353308687167764,0.999297052268433
ENSG00000227634,0,0,0,NaN,NaN,NaN
ENSG00000233645,0,0,0,NaN,NaN,NaN
ENSG00000162426,0.000663501002863625,0.0241269363927352,0.000582109059699088,36.3630744921333,0.877329585315991,0.999277682497572
