ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
ENSG00000165996	3-hydroxyacyl-CoA dehydratase 1(HACD1)	Homo sapiens				GO:0006633~fatty acid biosynthetic process,GO:0007275~multicellular organism development,GO:0010811~positive regulation of cell-substrate adhesion,GO:0030148~sphingolipid biosynthetic process,GO:0030497~fatty acid elongation,GO:0034622~cellular macromolecular complex assembly,GO:0035338~long-chain fatty-acyl-CoA biosynthetic process,GO:0042761~very long-chain fatty acid biosynthetic process,GO:0071529~cementum mineralization,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,	GO:0018812~3-hydroxyacyl-CoA dehydratase activity,GO:0019899~enzyme binding,GO:0046848~hydroxyapatite binding,GO:0080023~3R-hydroxyacyl-CoA dehydratase activity,GO:0102344~3-hydroxy-behenoyl-CoA dehydratase activity,GO:0102345~3-hydroxy-lignoceroyl-CoA dehydratase activity,	IPR007482:Protein-tyrosine phosphatase-like, PTPLA,	hsa00062:Fatty acid elongation,hsa01040:Biosynthesis of unsaturated fatty acids,hsa01212:Fatty acid metabolism,				Alternative splicing,Complete proteome,Developmental protein,Endoplasmic reticulum,Fatty acid biosynthesis,Fatty acid metabolism,Glycoprotein,Lipid biosynthesis,Lipid metabolism,Lyase,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Protein-tyrosine phosphatase-like member A,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,sequence variant,splice variant,transmembrane region,
ENSG00000168268	5'-nucleotidase domain containing 2(NT5DC2)	Homo sapiens				GO:0016311~dephosphorylation,		GO:0008253~5'-nucleotidase activity,GO:0046872~metal ion binding,	IPR008380:HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase,IPR016695:Purine 5'-nucleotidase,IPR023214:HAD-like domain,			PIRSF017434:cytosolic purine 5'-nucleotidase,		Alternative splicing,Complete proteome,Hydrolase,Magnesium,Metal-binding,Polymorphism,Proteomics identification,Reference proteome,	active site:Nucleophile,active site:Proton donor,chain:5'-nucleotidase domain-containing protein 2,metal ion-binding site:Magnesium,metal ion-binding site:Magnesium; via carbonyl oxygen,sequence conflict,sequence variant,splice variant,
ENSG00000182196	ADP ribosylation factor like GTPase 6 interacting protein 4(ARL6IP4)	Homo sapiens				GO:0006397~mRNA processing,GO:0008380~RNA splicing,	GO:0005634~nucleus,GO:0005730~nucleolus,GO:0016607~nuclear speck,	GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,	IPR019532:Nuclear RNA-splicing-associated protein, SR-25,					Alternative splicing,Coiled coil,Complete proteome,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,RNA editing,	chain:ADP-ribosylation factor-like protein 6- interacting protein 4,compositionally biased region:Lys-rich,compositionally biased region:Ser-rich,modified residue,sequence conflict,sequence variant,splice variant,
ENSG00000198899	ATP synthase F0 subunit 6(ATP6)	Homo sapiens				GO:0006754~ATP biosynthetic process,GO:0007568~aging,GO:0015986~ATP synthesis coupled proton transport,GO:0042776~mitochondrial ATP synthesis coupled proton transport,GO:0055093~response to hyperoxia,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005753~mitochondrial proton-transporting ATP synthase complex,GO:0016021~integral component of membrane,GO:0045263~proton-transporting ATP synthase complex, coupling factor F(o),GO:0070062~extracellular exosome,	GO:0015078~hydrogen ion transmembrane transporter activity,GO:0022857~transmembrane transporter activity,	IPR000568:ATPase, F0 complex, subunit A,IPR023011:ATPase, F0 complex, subunit A, active site,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,				ATP synthesis,CF(0),Complete proteome,Disease mutation,Hydrogen ion transport,Ion transport,Leber hereditary optic neuropathy,Leigh syndrome,Membrane,Mitochondrion,Mitochondrion inner membrane,Polymorphism,Reference proteome,Retinitis pigmentosa,Signal,Transmembrane,Transmembrane helix,Transport,	chain:ATP synthase protein 8,chain:ATP synthase subunit a,chain:Cytochrome c oxidase subunit 3,modified residue,sequence conflict,sequence variant,transmembrane region,
ENSG00000180389	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2(ATP5EP2)	Homo sapiens				GO:0015986~ATP synthesis coupled proton transport,	GO:0000275~mitochondrial proton-transporting ATP synthase complex, catalytic core F(1),GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,	GO:0016887~ATPase activity,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR006721:ATPase, F1 complex, epsilon  subunit, mitochondrial,					Acetylation,ATP synthesis,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Reference proteome,Transport,	chain:ATP synthase subunit epsilon, mitochondrial,chain:ATP synthase subunit epsilon-like protein, mitochondrial,modified residue,
ENSG00000249222	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G2(ATP5L2)	Homo sapiens				GO:0015986~ATP synthesis coupled proton transport,	GO:0000276~mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),GO:0005739~mitochondrion,	GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,	IPR006808:ATPase, F0 complex, subunit G, mitochondrial,IPR016702:Mitochondrial ATP synthase subunit g, animal,			PIRSF017835:F-type ATP synthase, subunit g, animal mitochondria type,		Acetylation,ATP synthesis,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Mitochondrion,Reference proteome,Transport,	chain:ATP synthase subunit g 2, mitochondrial,
ENSG00000105409	ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)	Homo sapiens				GO:0006883~cellular sodium ion homeostasis,GO:0007613~memory,GO:0008344~adult locomotory behavior,GO:0008542~visual learning,GO:0010107~potassium ion import,GO:0010248~establishment or maintenance of transmembrane electrochemical gradient,GO:0015991~ATP hydrolysis coupled proton transport,GO:0030007~cellular potassium ion homeostasis,GO:0034220~ion transmembrane transport,GO:0035235~ionotropic glutamate receptor signaling pathway,GO:0036376~sodium ion export from cell,GO:0042493~response to drug,GO:0060048~cardiac muscle contraction,GO:0071383~cellular response to steroid hormone stimulus,GO:0086036~regulation of cardiac muscle cell membrane potential,GO:0086064~cell communication by electrical coupling involved in cardiac conduction,GO:1903416~response to glycoside,GO:1903779~regulation of cardiac conduction,	GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005890~sodium:potassium-exchanging ATPase complex,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0042383~sarcolemma,GO:0043209~myelin sheath,GO:0044326~dendritic spine neck,GO:0044327~dendritic spine head,GO:0045202~synapse,GO:1903561~extracellular vesicle,	GO:0000166~nucleotide binding,GO:0005391~sodium:potassium-exchanging ATPase activity,GO:0005524~ATP binding,GO:0031748~D1 dopamine receptor binding,GO:0043395~heparan sulfate proteoglycan binding,GO:0046872~metal ion binding,GO:0051087~chaperone binding,GO:0086037~sodium:potassium-exchanging ATPase activity involved in regulation of cardiac muscle cell membrane potential,GO:1990239~steroid hormone binding,	IPR001757:Cation-transporting P-type ATPase,IPR004014:Cation-transporting P-type ATPase, N-terminal,IPR005775:Sodium/potassium-transporting P-type ATPase, subfamily IIC,IPR006068:Cation-transporting P-type ATPase, C-terminal,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023298:P-type ATPase,  transmembrane domain,IPR023299:P-type ATPase, cytoplasmic domain N,	hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04911:Insulin secretion,hsa04918:Thyroid hormone synthesis,hsa04919:Thyroid hormone signaling pathway,hsa04960:Aldosterone-regulated sodium reabsorption,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa04964:Proximal tubule bicarbonate reclamation,hsa04970:Salivary secretion,hsa04971:Gastric acid secretion,hsa04972:Pancreatic secretion,hsa04973:Carbohydrate digestion and absorption,hsa04974:Protein digestion and absorption,hsa04976:Bile secretion,hsa04978:Mineral absorption,	128235~Dystonia-12,601338~CAPOS syndrome,614820~Alternating hemiplegia of childhood 2,		SM00831:SM00831,	Alternative splicing,ATP-binding,Cell membrane,Complete proteome,Deafness,Disease mutation,Dystonia,Hydrolase,Ion transport,Magnesium,Membrane,Metal-binding,Nucleotide-binding,Parkinsonism,Phosphoprotein,Potassium,Potassium transport,Proteomics identification,Reference proteome,Sodium,Sodium transport,Sodium/potassium transport,Transmembrane,Transmembrane helix,Transport,	active site:4-aspartylphosphate intermediate,chain:Sodium/potassium-transporting ATPase subunit alpha-3,metal ion-binding site:Magnesium,modified residue,region of interest:Interaction with phosphoinositide-3 kinase,sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
ENSG00000215915	ATPase family, AAA domain containing 3C(ATAD3C)	Homo sapiens						GO:0005524~ATP binding,	IPR003593:AAA+ ATPase domain,IPR003959:ATPase, AAA-type, core,IPR021911:ATPase family AAA domain-containing protein 3, domain of unknown function DUF3523,IPR027417:P-loop containing nucleoside triphosphate hydrolase,				SM00382:AAA,	ATP-binding,Complete proteome,Nucleotide-binding,Proteomics identification,Reference proteome,	chain:ATPase family AAA domain-containing protein 3C,modified residue,nucleotide phosphate-binding region:ATP,
ENSG00000130270	ATPase phospholipid transporting 8B3(ATP8B3)	Homo sapiens				GO:0007030~Golgi organization,GO:0007339~binding of sperm to zona pellucida,GO:0045332~phospholipid translocation,	GO:0002080~acrosomal membrane,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0000287~magnesium ion binding,GO:0004012~phospholipid-translocating ATPase activity,GO:0005524~ATP binding,	IPR001757:Cation-transporting P-type ATPase,IPR006539:Phospholipid-transporting  P-type ATPase, subfamily IV,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023299:P-type ATPase, cytoplasmic domain N,					Alternative splicing,ATP-binding,Complete proteome,Cytoplasmic vesicle,Endoplasmic reticulum,Hydrolase,Lipid transport,Magnesium,Membrane,Metal-binding,Nucleotide-binding,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,Transport,	active site:4-aspartylphosphate intermediate,chain:Probable phospholipid-transporting ATPase IK,metal ion-binding site:Magnesium,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ENSG00000104043	ATPase phospholipid transporting 8B4 (putative)(ATP8B4)	Homo sapiens				GO:0007030~Golgi organization,GO:0045332~phospholipid translocation,	GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0000287~magnesium ion binding,GO:0004012~phospholipid-translocating ATPase activity,GO:0005524~ATP binding,	IPR001757:Cation-transporting P-type ATPase,IPR006539:Phospholipid-transporting  P-type ATPase, subfamily IV,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023299:P-type ATPase, cytoplasmic domain N,					ATP-binding,Cell membrane,Complete proteome,Golgi apparatus,Hydrolase,Lipid transport,Magnesium,Membrane,Metal-binding,Nucleotide-binding,Polymorphism,Proteomics identification,Reference proteome,Signal,Transmembrane,Transmembrane helix,Transport,	active site:4-aspartylphosphate intermediate,chain:Probable phospholipid-transporting ATPase IM,metal ion-binding site:Magnesium,sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
