ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
ENSG00000198754	3-oxoacid CoA-transferase 2(OXCT2)	Homo sapiens			Lipid metabolism,	GO:0008152~metabolic process,GO:0046952~ketone body catabolic process,	GO:0005739~mitochondrion,GO:0031514~motile cilium,	GO:0008260~3-oxoacid CoA-transferase activity,GO:0008410~CoA-transferase activity,	IPR004163:Coenzyme A transferase binding site,IPR004164:Coenzyme A transferase active site,IPR004165:Coenzyme A transferase family I,IPR012791:3-oxoacid CoA-transferase, subunit B,IPR012792:3-oxoacid CoA-transferase, subunit A,IPR014388:3-oxoacid CoA-transferase,	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,		PIRSF000858:3-oxoacid CoA-transferase,	SM00882:SM00882,	Complete proteome,Mitochondrion,Polymorphism,Reference proteome,Transferase,Transit peptide,	chain:Succinyl-CoA:3-ketoacid-coenzyme A transferase 2, mitochondrial,region of interest:CoA-binding,sequence conflict,sequence variant,transit peptide:Mitochondrion,
ENSG00000087116	ADAM metallopeptidase with thrombospondin type 1 motif 2(ADAMTS2)	Homo sapiens				GO:0007283~spermatogenesis,GO:0016485~protein processing,GO:0030199~collagen fibril organization,GO:0030324~lung development,GO:0030574~collagen catabolic process,GO:0043588~skin development,	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,	GO:0004222~metalloendopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,IPR013273:Peptidase M12B, ADAM-TS,IPR013275:Peptidase M12B, ADAM-TS2,IPR024079:Metallopeptidase, catalytic domain,		225410~Ehlers-Danlos syndrome, type VIIC,		SM00209:TSP1,	Alternative splicing,Collagen degradation,Complete proteome,Disulfide bond,Ehlers-Danlos syndrome,Extracellular matrix,Glycoprotein,Hydrolase,Metal-binding,Metalloprotease,Polymorphism,Protease,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,Zinc,Zymogen,	chain:A disintegrin and metalloproteinase with thrombospondin motifs 2,compositionally biased region:Cys-rich,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Glu,disulfide bond,domain:Disintegrin,domain:Peptidase M12B,domain:PLAC,domain:TSP type-1 1,domain:TSP type-1 2,domain:TSP type-1 3,domain:TSP type-1 4,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Zinc; catalytic,region of interest:Spacer,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,splice variant,
ENSG00000182196	ADP ribosylation factor like GTPase 6 interacting protein 4(ARL6IP4)	Homo sapiens				GO:0006397~mRNA processing,GO:0008380~RNA splicing,	GO:0005634~nucleus,GO:0005730~nucleolus,GO:0016607~nuclear speck,	GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,	IPR019532:Nuclear RNA-splicing-associated protein, SR-25,					Alternative splicing,Coiled coil,Complete proteome,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,RNA editing,	chain:ADP-ribosylation factor-like protein 6- interacting protein 4,compositionally biased region:Lys-rich,compositionally biased region:Ser-rich,modified residue,sequence conflict,sequence variant,splice variant,
ENSG00000251503	APITD1-CORT readthrough(APITD1-CORT)	Homo sapiens				GO:0000712~resolution of meiotic recombination intermediates,GO:0006281~DNA repair,GO:0006312~mitotic recombination,GO:0006974~cellular response to DNA damage stimulus,GO:0007062~sister chromatid cohesion,GO:0007067~mitotic nuclear division,GO:0031297~replication fork processing,GO:0031398~positive regulation of protein ubiquitination,GO:0034080~CENP-A containing nucleosome assembly,GO:0036297~interstrand cross-link repair,GO:0051301~cell division,GO:0051382~kinetochore assembly,	GO:0000776~kinetochore,GO:0000777~condensed chromosome kinetochore,GO:0005576~extracellular region,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0043240~Fanconi anaemia nuclear complex,GO:0071821~FANCM-MHF complex,	GO:0003677~DNA binding,GO:0003682~chromatin binding,	IPR009072:Histone-fold,IPR018142:Somatostatin/Cortistatin, C-terminal,					3D-structure,Acetylation,Alternative splicing,Cell cycle,Cell division,Centromere,Chromosome,Complete proteome,DNA damage,DNA repair,DNA-binding,Fanconi anemia,Kinetochore,Mitosis,Nucleus,Proteomics identification,Reference proteome,
ENSG00000180389	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2(ATP5EP2)	Homo sapiens				GO:0015986~ATP synthesis coupled proton transport,	GO:0000275~mitochondrial proton-transporting ATP synthase complex, catalytic core F(1),GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,	GO:0016887~ATPase activity,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR006721:ATPase, F1 complex, epsilon  subunit, mitochondrial,					Acetylation,ATP synthesis,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Reference proteome,Transport,	chain:ATP synthase subunit epsilon, mitochondrial,chain:ATP synthase subunit epsilon-like protein, mitochondrial,modified residue,
ENSG00000105409	ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)	Homo sapiens				GO:0006883~cellular sodium ion homeostasis,GO:0007613~memory,GO:0008344~adult locomotory behavior,GO:0008542~visual learning,GO:0010107~potassium ion import,GO:0010248~establishment or maintenance of transmembrane electrochemical gradient,GO:0015991~ATP hydrolysis coupled proton transport,GO:0030007~cellular potassium ion homeostasis,GO:0034220~ion transmembrane transport,GO:0035235~ionotropic glutamate receptor signaling pathway,GO:0036376~sodium ion export from cell,GO:0042493~response to drug,GO:0060048~cardiac muscle contraction,GO:0071383~cellular response to steroid hormone stimulus,GO:0086036~regulation of cardiac muscle cell membrane potential,GO:0086064~cell communication by electrical coupling involved in cardiac conduction,GO:1903416~response to glycoside,GO:1903779~regulation of cardiac conduction,	GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005890~sodium:potassium-exchanging ATPase complex,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0042383~sarcolemma,GO:0043209~myelin sheath,GO:0044326~dendritic spine neck,GO:0044327~dendritic spine head,GO:0045202~synapse,GO:1903561~extracellular vesicle,	GO:0000166~nucleotide binding,GO:0005391~sodium:potassium-exchanging ATPase activity,GO:0005524~ATP binding,GO:0031748~D1 dopamine receptor binding,GO:0043395~heparan sulfate proteoglycan binding,GO:0046872~metal ion binding,GO:0051087~chaperone binding,GO:0086037~sodium:potassium-exchanging ATPase activity involved in regulation of cardiac muscle cell membrane potential,GO:1990239~steroid hormone binding,	IPR001757:Cation-transporting P-type ATPase,IPR004014:Cation-transporting P-type ATPase, N-terminal,IPR005775:Sodium/potassium-transporting P-type ATPase, subfamily IIC,IPR006068:Cation-transporting P-type ATPase, C-terminal,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023298:P-type ATPase,  transmembrane domain,IPR023299:P-type ATPase, cytoplasmic domain N,	hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04911:Insulin secretion,hsa04918:Thyroid hormone synthesis,hsa04919:Thyroid hormone signaling pathway,hsa04960:Aldosterone-regulated sodium reabsorption,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa04964:Proximal tubule bicarbonate reclamation,hsa04970:Salivary secretion,hsa04971:Gastric acid secretion,hsa04972:Pancreatic secretion,hsa04973:Carbohydrate digestion and absorption,hsa04974:Protein digestion and absorption,hsa04976:Bile secretion,hsa04978:Mineral absorption,	128235~Dystonia-12,601338~CAPOS syndrome,614820~Alternating hemiplegia of childhood 2,		SM00831:SM00831,	Alternative splicing,ATP-binding,Cell membrane,Complete proteome,Deafness,Disease mutation,Dystonia,Hydrolase,Ion transport,Magnesium,Membrane,Metal-binding,Nucleotide-binding,Parkinsonism,Phosphoprotein,Potassium,Potassium transport,Proteomics identification,Reference proteome,Sodium,Sodium transport,Sodium/potassium transport,Transmembrane,Transmembrane helix,Transport,	active site:4-aspartylphosphate intermediate,chain:Sodium/potassium-transporting ATPase subunit alpha-3,metal ion-binding site:Magnesium,modified residue,region of interest:Interaction with phosphoinositide-3 kinase,sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
ENSG00000110987	BCL tumor suppressor 7A(BCL7A)	Homo sapiens				GO:0045892~negative regulation of transcription, DNA-templated,		GO:0005515~protein binding,	IPR006804:BCL7,		B-cell non-Hodgkin lymphoma, high-grade~B-cell non-Hodgkin lymphoma, high-grade,			Alternative splicing,Chromosomal rearrangement,Complete proteome,Isopeptide bond,Phosphoprotein,Polymorphism,Reference proteome,Ubl conjugation,	chain:B-cell CLL/lymphoma 7 protein family member A,modified residue,sequence variant,splice variant,
ENSG00000136573	BLK proto-oncogene, Src family tyrosine kinase(BLK)	Homo sapiens				GO:0007010~cytoskeleton organization,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0030154~cell differentiation,GO:0032024~positive regulation of insulin secretion,GO:0035556~intracellular signal transduction,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0042127~regulation of cell proliferation,GO:0043066~negative regulation of apoptotic process,GO:0045087~innate immune response,GO:0050764~regulation of phagocytosis,GO:0050853~B cell receptor signaling pathway,GO:0071801~regulation of podosome assembly,	GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,	GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005524~ATP binding,	IPR000719:Protein kinase, catalytic domain,IPR000980:SH2 domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001452:Src homology-3 domain,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,		613375~Maturity-onset diabetes of the young, type 11,		SM00219:TyrKc,SM00252:SH2,SM00326:SH3,	ATP-binding,Cell membrane,Complete proteome,Diabetes mellitus,Kinase,Lipoprotein,Membrane,Myristate,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,SH2 domain,SH3 domain,Transferase,Tyrosine-protein kinase,Ubl conjugation,	active site:Proton acceptor,binding site:ATP,chain:Tyrosine-protein kinase Blk,domain:Protein kinase,domain:SH2,domain:SH3,lipid moiety-binding region:N-myristoyl glycine,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,
ENSG00000095739	BMP and activin membrane bound inhibitor(BAMBI)	Homo sapiens				GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0008284~positive regulation of cell proliferation,GO:0008360~regulation of cell shape,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0016477~cell migration,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0032092~positive regulation of protein binding,GO:0035413~positive regulation of catenin import into nucleus,GO:0045893~positive regulation of transcription, DNA-templated,GO:0090263~positive regulation of canonical Wnt signaling pathway,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005109~frizzled binding,GO:0005114~type II transforming growth factor beta receptor binding,	IPR009345:BMP/activin membrane-bound inhibitor,	hsa04310:Wnt signaling pathway,hsa04350:TGF-beta signaling pathway,		PIRSF037456:BMP and activin membrane-bound inhibitor,		Complete proteome,Direct protein sequencing,Glycoprotein,Membrane,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:BMP and activin membrane-bound inhibitor homolog,glycosylation site:N-linked (GlcNAc...),signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ENSG00000176720	BOK, BCL2 family apoptosis regulator(BOK)	Homo sapiens				GO:0001836~release of cytochrome c from mitochondria,GO:0006915~apoptotic process,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006921~cellular component disassembly involved in execution phase of apoptosis,GO:0007420~brain development,GO:0008283~cell proliferation,GO:0008584~male gonad development,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0008635~activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,GO:0010506~regulation of autophagy,GO:0042981~regulation of apoptotic process,GO:0043065~positive regulation of apoptotic process,GO:0048709~oligodendrocyte differentiation,GO:0051259~protein oligomerization,GO:0051402~neuron apoptotic process,GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator,GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand,GO:1900119~positive regulation of execution phase of apoptosis,GO:1901030~positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,GO:1901382~regulation of chorionic trophoblast cell proliferation,GO:1902237~positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,GO:1903899~positive regulation of PERK-mediated unfolded protein response,GO:1904708~regulation of granulosa cell apoptotic process,GO:2001244~positive regulation of intrinsic apoptotic signaling pathway,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005640~nuclear outer membrane,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005741~mitochondrial outer membrane,GO:0005743~mitochondrial inner membrane,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031901~early endosome membrane,GO:0031966~mitochondrial membrane,GO:0032588~trans-Golgi network membrane,GO:0033106~cis-Golgi network membrane,GO:0055038~recycling endosome membrane,	GO:0005515~protein binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,GO:0051400~BH domain binding,	IPR002475:Bcl2-like,IPR026298:Blc2 family,IPR026309:Bcl-2-related ovarian killer protein,					Alternative splicing,Apoptosis,Complete proteome,Cytoplasm,Endoplasmic reticulum,Endosome,Golgi apparatus,Isopeptide bond,Membrane,Mitochondrion,Mitochondrion inner membrane,Mitochondrion outer membrane,Nucleus,Phosphoprotein,Reference proteome,Transmembrane,Transmembrane helix,Ubl conjugation,	chain:Bcl-2-related ovarian killer protein,short sequence motif:BH1,short sequence motif:BH2,short sequence motif:BH3,short sequence motif:BH4,
