ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	REACTOME_PATHWAY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
ENSG00000198682	3'-phosphoadenosine 5'-phosphosulfate synthase 2(PAPSS2)	Homo sapiens				GO:0000103~sulfate assimilation,GO:0001501~skeletal system development,GO:0007596~blood coagulation,GO:0016310~phosphorylation,GO:0050428~3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,GO:0060348~bone development,	GO:0005829~cytosol,	GO:0004020~adenylylsulfate kinase activity,GO:0004781~sulfate adenylyltransferase (ATP) activity,GO:0005524~ATP binding,GO:0016779~nucleotidyltransferase activity,	IPR002650:Sulphate adenylyltransferase,IPR002891:Adenylylsulphate kinase,IPR014729:Rossmann-like alpha/beta/alpha sandwich fold,IPR015947:PUA-like domain,IPR024951:Sulphate adenylyltransferase catalytic domain,IPR025980:ATP-sulfurylase PUA-like domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa00230:Purine metabolism,hsa00450:Selenocompound metabolism,hsa00920:Sulfur metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,	612847~Brachyolmia 4 with mild epiphyseal and metaphyseal changes,		R-HSA-174362:R-HSA-174362,R-HSA-2408550:R-HSA-2408550,R-HSA-3560796:R-HSA-3560796,		3D-structure,Acetylation,Alternative splicing,ATP-binding,Complete proteome,Disease mutation,Dwarfism,Kinase,Multifunctional enzyme,Nucleotide-binding,Nucleotidyltransferase,Polymorphism,Reference proteome,Transferase,	active site:Phosphoserine intermediate,chain:Bifunctional 3'-phosphoadenosine 5'- phosphosulfate synthase 2,helix,nucleotide phosphate-binding region:ATP,region of interest:Adenylyl-sulfate kinase,region of interest:Sulfate adenylyltransferase,sequence conflict,sequence variant,short sequence motif:PP-motif,splice variant,strand,turn,
ENSG00000111696	5'-nucleotidase domain containing 3(NT5DC3)	Homo sapiens				GO:0016311~dephosphorylation,	GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0043235~receptor complex,	GO:0008253~5'-nucleotidase activity,GO:0046872~metal ion binding,	IPR008380:HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase,IPR016695:Purine 5'-nucleotidase,IPR023214:HAD-like domain,			PIRSF017434:cytosolic purine 5'-nucleotidase,			Alternative splicing,Complete proteome,Hydrolase,Magnesium,Metal-binding,Polymorphism,Proteomics identification,Reference proteome,	active site:Nucleophile,active site:Proton donor,chain:5'-nucleotidase domain-containing protein 3,compositionally biased region:Poly-Ala,metal ion-binding site:Magnesium,metal ion-binding site:Magnesium; via carbonyl oxygen,region of interest:Substrate binding,sequence variant,splice variant,
ENSG00000185013	5'-nucleotidase, cytosolic IB(NT5C1B)	Homo sapiens			Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only,	GO:0006195~purine nucleotide catabolic process,GO:0009117~nucleotide metabolic process,GO:0016311~dephosphorylation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0008253~5'-nucleotidase activity,	IPR010394:5-nucleotidase,	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,			R-HSA-74259:R-HSA-74259,		Alternative splicing,Complete proteome,Cytoplasm,Hydrolase,Magnesium,Nucleotide metabolism,Reference proteome,	active site:Nucleophile,active site:Proton acceptor,binding site:Substrate,chain:Cytosolic 5'-nucleotidase 1B,chain:Retinol dehydrogenase 14,compositionally biased region:Poly-Gln,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,nucleotide phosphate-binding region:NADP,sequence conflict,splice variant,
ENSG00000123836	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2(PFKFB2)	Homo sapiens				GO:0006000~fructose metabolic process,GO:0006003~fructose 2,6-bisphosphate metabolic process,GO:0006089~lactate metabolic process,GO:0006096~glycolytic process,GO:0009749~response to glucose,GO:0016311~dephosphorylation,GO:0032024~positive regulation of insulin secretion,GO:0033133~positive regulation of glucokinase activity,GO:0046835~carbohydrate phosphorylation,GO:0061621~canonical glycolysis,	GO:0005829~cytosol,	GO:0003824~catalytic activity,GO:0003873~6-phosphofructo-2-kinase activity,GO:0004331~fructose-2,6-bisphosphate 2-phosphatase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019901~protein kinase binding,	IPR001345:Phosphoglycerate/bisphosphoglycerate mutase, active site,IPR003094:Fructose-2,6-bisphosphatase,IPR013078:Histidine phosphatase superfamily, clade-1,IPR013079:6-phosphofructo-2-kinase,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa00051:Fructose and mannose metabolism,hsa04152:AMPK signaling pathway,hsa04919:Thyroid hormone signaling pathway,			R-HSA-70171:R-HSA-70171,	SM00855:SM00855,	Acetylation,Alternative splicing,ATP-binding,Complete proteome,Hydrolase,Kinase,Multifunctional enzyme,Nucleotide-binding,Phosphoprotein,Proteomics identification,Reference proteome,Transferase,	active site:Proton donor,active site:Tele-phosphohistidine intermediate,binding site:Fructose-6-phosphate,chain:6-phosphofructo-2-kinase/fructose-2,6- biphosphatase 2,modified residue,nucleotide phosphate-binding region:ATP,region of interest:6-phosphofructo-2-kinase,region of interest:Fructose-2,6-bisphosphatase,sequence conflict,splice variant,
ENSG00000008277	ADAM metallopeptidase domain 22(ADAM22)	Homo sapiens				GO:0006508~proteolysis,GO:0007155~cell adhesion,GO:0007162~negative regulation of cell adhesion,GO:0007229~integrin-mediated signaling pathway,GO:0007417~central nervous system development,GO:0008344~adult locomotory behavior,GO:0022011~myelination in peripheral nervous system,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030424~axon,	GO:0004222~metalloendopeptidase activity,GO:0005178~integrin binding,GO:0005515~protein binding,	IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR013032:EGF-like, conserved site,IPR013111:EGF, extracellular,IPR018358:Disintegrin, conserved site,IPR024079:Metallopeptidase, catalytic domain,				R-HSA-5682910:R-HSA-5682910,	SM00050:DISIN,SM00608:ACR,	3D-structure,Alternative splicing,Cell adhesion,Cell projection,Cleavage on pair of basic residues,Complete proteome,Disulfide bond,EGF-like domain,Glycoprotein,Integrin,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Receptor,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:Disintegrin and metalloproteinase domain- containing protein 22,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:EGF-like,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),helix,modified residue,mutagenesis site,sequence variant,signal peptide,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
ENSG00000143382	ADAMTS like 4(ADAMTSL4)	Homo sapiens				GO:0002064~epithelial cell development,GO:0006508~proteolysis,GO:0006915~apoptotic process,GO:0030198~extracellular matrix organization,GO:0036066~protein O-linked fucosylation,GO:0043065~positive regulation of apoptotic process,	GO:0005614~interstitial matrix,GO:0005788~endoplasmic reticulum lumen,GO:0031012~extracellular matrix,	GO:0002020~protease binding,GO:0004222~metalloendopeptidase activity,GO:0005515~protein binding,GO:0008233~peptidase activity,	IPR000884:Thrombospondin, type 1 repeat,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,		225100~Ectopia lentis, isolated, autosomal recessive,225200~Ectopia lentis et pupillae,		R-HSA-5173214:R-HSA-5173214,	SM00209:TSP1,	Alternative splicing,Apoptosis,Complete proteome,Extracellular matrix,Glycoprotein,Polymorphism,Reference proteome,Repeat,Secreted,Signal,	chain:ADAMTS-like protein 4,compositionally biased region:Pro-rich,domain:PLAC,domain:TSP type-1 1,domain:TSP type-1 2,domain:TSP type-1 3,domain:TSP type-1 4,domain:TSP type-1 5,domain:TSP type-1 6,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,splice variant,
ENSG00000184675	APC membrane recruitment protein 1(AMER1)	Homo sapiens				GO:0016055~Wnt signaling pathway,GO:0031398~positive regulation of protein ubiquitination,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0048856~anatomical structure development,GO:0060348~bone development,GO:0060612~adipose tissue development,GO:0060828~regulation of canonical Wnt signaling pathway,GO:0072161~mesenchymal cell differentiation involved in kidney development,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1903364~positive regulation of cellular protein catabolic process,GO:1904885~beta-catenin destruction complex assembly,GO:1904886~beta-catenin destruction complex disassembly,	GO:0005634~nucleus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005515~protein binding,GO:0005546~phosphatidylinositol-4,5-bisphosphate binding,GO:0008013~beta-catenin binding,GO:1904713~beta-catenin destruction complex binding,	IPR019003:Uncharacterised protein family FAM123,		300373~Osteopathia striata with cranial sclerosis,		R-HSA-195253:R-HSA-195253,R-HSA-196299:R-HSA-196299,R-HSA-4641262:R-HSA-4641262,R-HSA-5339716:R-HSA-5339716,R-HSA-5358747:R-HSA-5358747,R-HSA-5358749:R-HSA-5358749,R-HSA-5358751:R-HSA-5358751,R-HSA-5358752:R-HSA-5358752,R-HSA-5467337:R-HSA-5467337,R-HSA-5467340:R-HSA-5467340,R-HSA-5467348:R-HSA-5467348,		3D-structure,Acetylation,Alternative splicing,Cell membrane,Complete proteome,Cytoplasm,Lipid-binding,Membrane,Nucleus,Phosphoprotein,Polymorphism,Reference proteome,Wnt signaling pathway,	chain:Protein FAM123B,compositionally biased region:Glu-rich,compositionally biased region:Poly-Glu,compositionally biased region:Pro-rich,modified residue,sequence variant,splice variant,
ENSG00000154263	ATP binding cassette subfamily A member 10(ABCA10)	Homo sapiens			Defense mechanisms,	GO:0006869~lipid transport,GO:0055085~transmembrane transport,	GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005215~transporter activity,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR026082:ABC transporter A, ABCA,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa02010:ABC transporters,			R-HSA-1369062:R-HSA-1369062,	SM00382:AAA,	Alternative splicing,ATP-binding,Complete proteome,Membrane,Nucleotide-binding,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,	chain:ATP-binding cassette sub-family A member 10,domain:ABC transporter 1,domain:ABC transporter 2,modified residue,nucleotide phosphate-binding region:ATP 1,nucleotide phosphate-binding region:ATP 2,sequence conflict,sequence variant,splice variant,transmembrane region,
ENSG00000023839	ATP binding cassette subfamily C member 2(ABCC2)	Homo sapiens		h_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity,		GO:0006810~transport,GO:0006855~drug transmembrane transport,GO:0006979~response to oxidative stress,GO:0009408~response to heat,GO:0015723~bilirubin transport,GO:0015732~prostaglandin transport,GO:0030644~cellular chloride ion homeostasis,GO:0031427~response to methotrexate,GO:0043627~response to estrogen,GO:0046685~response to arsenic-containing substance,GO:0048545~response to steroid hormone,GO:0055085~transmembrane transport,GO:0070327~thyroid hormone transport,GO:0098656~anion transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016324~apical plasma membrane,GO:0046581~intercellular canaliculus,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008514~organic anion transmembrane transporter activity,GO:0015127~bilirubin transmembrane transporter activity,GO:0019904~protein domain specific binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043225~anion transmembrane-transporting ATPase activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR005292:Multi drug resistance-associated protein,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa02010:ABC transporters,hsa04976:Bile secretion,	237500~Dubin-Johnson syndrome,		R-HSA-382556:R-HSA-382556,R-HSA-5679001:R-HSA-5679001,	SM00382:AAA,	ATP-binding,Cell membrane,Coiled coil,Complete proteome,Disease mutation,Glycoprotein,Membrane,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,	chain:Canalicular multispecific organic anion transporter 1,domain:ABC transmembrane type-1 1,domain:ABC transmembrane type-1 2,domain:ABC transporter 1,domain:ABC transporter 2,glycosylation site:N-linked (GlcNAc...),modified residue,mutagenesis site,nucleotide phosphate-binding region:ATP 1,nucleotide phosphate-binding region:ATP 2,sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ENSG00000133657	ATPase 13A3(ATP13A3)	Homo sapiens				GO:0006812~cation transport,GO:0006874~cellular calcium ion homeostasis,GO:0098655~cation transmembrane transport,	GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0019829~cation-transporting ATPase activity,GO:0046872~metal ion binding,	IPR001757:Cation-transporting P-type ATPase,IPR004014:Cation-transporting P-type ATPase, N-terminal,IPR006068:Cation-transporting P-type ATPase, C-terminal,IPR006544:Cation-transporting P-type ATPase, subfamily  V,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023299:P-type ATPase, cytoplasmic domain N,						Alternative splicing,ATP-binding,Complete proteome,Hydrolase,Magnesium,Membrane,Metal-binding,Nucleotide-binding,Phosphoprotein,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	active site:4-aspartylphosphate intermediate,chain:Probable cation-transporting ATPase 13A3,compositionally biased region:Poly-Tyr,metal ion-binding site:Magnesium,modified residue,sequence conflict,splice variant,transmembrane region,
